,Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
0,1,1,054.0 056.0,19-4903CR-HY-060-0930-05400560-0000A-3,0,10.5,33.44,,25.649,,,,3,1.0,,2.0,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0.0,10.5,10.5,33.44,25.64,233.0,0.0,,,,,,,,,,0,,,,,,,,
1,1,2,054.0 056.0,19-4903CR-HY-060-0930-05400560-0008A-3,8,10.46,33.44,,25.656,,,,3,2.0,,2.0,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,8.0,10.46,10.46,33.44,25.65,232.5,0.01,,,,,,,,,,8,,,,,,,,
2,1,3,054.0 056.0,19-4903CR-HY-060-0930-05400560-0010A-7,10,10.46,33.437,,25.654,,,,7,2.0,,3.0,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10.0,10.46,10.46,33.437,25.65,232.8,0.02,,,,,,,,,,10,,,,,,,,
3,1,4,054.0 056.0,19-4903CR-HY-060-0930-05400560-0019A-3,19,10.45,33.42,,25.643,,,,3,2.0,,2.0,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,19.0,10.45,10.45,33.42,25.64,234.1,0.04,,,,,,,,,,19,,,,,,,,
4,1,5,054.0 056.0,19-4903CR-HY-060-0930-05400560-0020A-7,20,10.45,33.421,,25.643,,,,7,2.0,,3.0,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20.0,10.45,10.45,33.421,25.64,234.0,0.04,,,,,,,,,,20,,,,,,,,
5,1,6,054.0 056.0,19-4903CR-HY-060-0930-05400560-0030A-7,30,10.45,33.431,,25.651,,,,7,2.0,,3.0,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30.0,10.45,10.45,33.431,25.65,233.5,0.07,,,,,,,,,,30,,,,,,,,
6,1,7,054.0 056.0,19-4903CR-HY-060-0930-05400560-0039A-3,39,10.45,33.44,,25.658,,,,3,2.0,,2.0,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,39.0,10.45,10.45,33.44,25.65,233.0,0.09,,,,,,,,,,39,,,,,,,,
7,1,8,054.0 056.0,19-4903CR-HY-060-0930-05400560-0050A-7,50,10.24,33.424,,25.682,,,,7,2.0,,3.0,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50.0,10.24,10.23,33.424,25.68,231.0,0.11,,,,,,,,,,50,,,,,,,,
8,1,9,054.0 056.0,19-4903CR-HY-060-0930-05400560-0058A-3,58,10.06,33.42,,25.71,,,,3,2.0,,2.0,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,58.0,10.06,10.05,33.42,25.71,228.5,0.13,,,,,,,,,,58,,,,,,,,
9,1,10,054.0 056.0,19-4903CR-HY-060-0930-05400560-0075A-7,75,9.86,33.494,,25.801,,,,7,2.0,,3.0,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,75.0,9.86,9.85,33.494,25.8,220.1,0.17,,,,,,,,,,75,,,,,,,,
10,1,11,054.0 056.0,19-4903CR-HY-060-0930-05400560-0078A-3,78,9.83,33.51,,25.819,,,,3,2.0,,2.0,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,78.0,9.83,9.82,33.51,25.81,218.6,0.18,,,,,,,,,,78,,,,,,,,
11,1,12,054.0 056.0,19-4903CR-HY-060-0930-05400560-0100A-7,100,9.67,33.58,,25.9,,,,7,2.0,,3.0,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,100.0,9.67,9.66,33.58,25.9,211.2,0.22,,,,,,,,,,101,,,,,,,,
