CustomerKey|SalesAmount|Awarded|PointAwardedinReturnTrnx|Used|TotalAwarded|TotalUsed|JuneEndUsed|DecEndUsed|PointUsageinCampaignPeriods
2|2010,11|10,0499|0|0|10,0499|0|0|0|0
3|4258,24|31,0695|0|0|31,0695|0|0|0|0
5|18870,31|101,1197|0|28,27|101,1197|28,27|0|28,27|1
6|3288,47|17,2498|0|0|17,2498|0|0|0|0
7|19565,38|117,8799|0|68,6899|117,8799|68,6899|0|17,07|0,2485
8|3640,42|24,4498|0|15,07|24,4498|15,07|7,51|0|0,4983
12|10513,65|59,7396|0|55,1201|59,7396|55,1201|37,2901|0|0,6765
13|1702,5|12,6501|0|0|12,6501|0|0|0|0
16|1240,22|10,05|0|0|10,05|0|0|0|0
18|99,99|0,5|0|0|0,5|0|0|0|0
19|389,93|1,95|0|0|1,95|0|0|0|0
21|4477,63|32,8396|0|6|32,8396|6|0|0|0
23|15924,89|85,5402|0|0|85,5402|0|0|0|0
25|1378,63|6,89|0|0|6,89|0|0|0|0
28|1179,58|5,9|0|0|5,9|0|0|0|0
33|3560,47|31,9598|0|0|31,9598|0|0|0|0
34|62,99|0,63|0|0|0,63|0|0|0|0
37|1105,28|5,53|0|4,4|5,53|4,4|0|0|0
38|249,95|1,25|0|0|1,25|0|0|0|0
40|314,86|3,15|0|0|3,15|0|0|0|0
41|2892|16,1096|0|0|16,1096|0|0|0|0
43|459,9|2,3|0|0|2,3|0|0|0|0
44|1087,74|9,2299|0|0|9,2299|0|0|0|0
45|8790,12|45,99|0|0|45,99|0|0|0|0
46|10544,1|79,7206|0|35,4103|79,7206|35,4103|0|16,96|0,4789
47|2472,6|13,2397|0|0|13,2397|0|0|0|0
49|661,78|3,46|0|0|3,46|0|0|0|0
50|2272,99|17,9795|0|9,9502|17,9795|9,9502|0|0|0
52|5737,36|34,8898|0|19,8|34,8898|19,8|0|0|0
53|2221,36|12,8598|0|0|12,8598|0|0|0|0
54|3447,26|23,58|0|0|23,58|0|0|0|0
56|13062,69|77,1897|0|33,48|77,1897|33,48|0|0|0
57|361,94|1,11|0|0|1,11|0|0|0|0
58|3604,54|18,6599|0|0|18,6599|0|0|0|0
62|4687,57|26,9099|0|6|26,9099|6|0|6|1
63|2970,38|17,94|0|0|17,94|0|0|0|0
64|1635,66|10,78|0|0|10,78|0|0|0|0
65|7625,41|47,2799|0|0|47,2799|0|0|0|0
66|3168,81|16,9201|0|0|16,9201|0|0|0|0
67|3302,99|29,2402|0|0|29,2402|0|0|0|0
71|1897,11|9,49|0|0|9,49|0|0|0|0
72|249,91|1,25|0|0|1,25|0|0|0|0
73|1427,61|8,9902|0|0|8,9902|0|0|0|0
74|113,92|1,14|0|0|1,14|0|0|0|0
75|576,3|4,9101|0|0|4,9101|0|0|0|0
76|793,86|3,97|0|0|3,97|0|0|0|0
78|7411,09|41,8898|0|8,49|41,8898|8,49|8,49|0|1
79|839,92|4,2|0|0|4,2|0|0|0|0
82|637,8|3,3399|0|0|3,3399|0|0|0|0
83|369,85|1,85|0|0|1,85|0|0|0|0
84|4123,65|22,2501|0|5,03|22,2501|5,03|0|0|0
85|6211,02|42,4094|0|15,6399|42,4094|15,6399|0|0|0
87|4008,98|22,1999|0|31,08|22,1999|31,08|0|31,08|1
88|8531,19|45,1099|0|0|45,1099|0|0|0|0
