CustomerKey	MDAY_VISIT_L36M	FDAY_VISIT_L36M	BF_VISIT_L36M	VDAY_VISIT_L36M	BTS_VISIT_L36M	NY_VISIT_L36M
2209245	0	1	0	0	0	0
882195	0	2	0	0	0	1
797034	0	0	1	0	0	0
462485	0	1	0	0	0	1
2033350	0	0	0	0	0	1
258203	1	1	0	0	0	0
643953	1	1	0	0	0	1
2214818	0	1	0	0	0	0
763074	0	0	0	1	0	0
1063663	0	1	0	0	0	0
916155	1	1	0	0	1	1
558792	0	0	0	1	1	1
2004963	0	0	0	0	1	0
2146898	0	0	0	0	0	1
105122	0	0	1	0	0	1
791461	0	3	0	0	1	0
2027777	0	0	1	0	0	0
405711	1	1	1	0	0	0
1426599	0	1	1	0	0	0
825421	0	1	2	0	2	2
2152471	0	0	0	0	0	1
2299979	0	0	0	0	0	1
672340	1	1	1	2	1	3
252630	1	0	0	0	1	0
99549	3	1	2	1	2	3
978502	1	1	1	1	1	3
950115	1	0	0	0	1	0
1035276	0	0	0	0	0	1
188717	1	1	0	2	0	3
789895	0	1	0	0	0	0
231382	0	1	0	1	0	1
154757	0	1	0	0	0	0
517693	1	2	2	1	2	3
2082985	1	0	0	0	0	0
446810	0	0	0	0	0	1
1104762	1	2	0	2	0	0
83874	0	0	0	1	0	0
265342	1	0	1	0	1	0
288156	1	2	1	0	1	0
7249	1	1	0	0	0	0
1084911	1	0	1	0	0	0
49914	1	1	1	1	0	0
2298413	0	0	0	0	0	1
1343004	0	0	0	0	0	1
2026211	0	0	1	0	0	0
755935	0	1	0	0	0	0
775786	1	0	0	0	0	0
2049025	1	0	1	1	0	1
1014028	0	0	1	0	1	1
15954	0	1	0	0	0	0
832560	0	0	0	0	0	2
1070802	0	1	0	0	0	0
923294	0	1	1	0	1	1
120797	2	2	1	1	1	3
994177	0	1	0	0	0	0
629844	0	0	0	0	1	0
1055127	1	0	0	0	0	1
176005	0	1	0	1	0	0
147618	1	2	1	2	2	1
85440	2	0	1	1	0	2
482336	0	1	0	0	0	0
2138193	0	0	1	0	0	0
153360	0	1	0	0	0	0
2251741	0	0	0	0	1	0
504981	1	0	0	0	0	0
329086	0	0	0	0	1	1
845272	0	0	0	0	0	1
1446281	0	1	0	0	1	0
2081588	0	1	1	0	0	0
1355716	1	0	0	0	0	0
811312	0	1	0	0	1	0
516296	0	0	0	0	0	1
147787	0	0	1	1	0	0
279	0	0	1	0	1	0
476594	0	0	0	0	0	1
1196893	0	0	0	1	0	0
1026740	0	0	0	0	1	0
2257314	0	0	0	0	1	0
113658	1	1	0	0	0	0
1054958	0	0	0	1	0	0
28497	0	0	0	0	2	1
142045	0	0	0	0	0	2
538941	0	1	0	0	0	0
2075846	0	0	0	1	0	0
686449	0	0	0	1	0	0
2020638	0	0	1	0	0	0
279620	0	0	2	1	1	2
239918	0	0	1	0	0	2
1070633	1	1	3	0	2	2
852242	1	0	0	0	1	1
126370	2	3	2	3	2	3
818282	0	0	0	0	0	1
713439	0	0	0	0	0	1
2278731	0	0	1	0	0	0
2026380	0	0	1	0	0	0
21527	0	0	1	0	1	0
1334468	0	0	0	0	1	1
1300508	1	0	0	0	0	0
2097263	0	1	0	0	0	0
747399	0	0	1	0	1	0
163293	1	0	1	1	1	0
98152	0	0	0	0	1	0
55487	1	1	1	1	0	1
756104	0	0	0	1	0	1
860947	0	0	0	0	0	1
1399609	0	1	0	0	1	2
197253	0	1	1	0	0	0
92410	0	0	0	1	1	0
49745	0	0	0	0	1	1
531971	0	0	0	0	0	1
169035	1	1	1	0	1	2
2067479	0	0	0	0	0	1
1341607	0	0	1	0	0	0
1035107	0	0	0	0	0	1
